,transactionid,accountid,transactionamount,transactiondate,transactiontype,location,deviceid,ip_address,merchantid,channel,customerage,customeroccupation,transactionduration,loginattempts,accountbalance,previoustransactiondate,transaction_hour,transaction_day,is_senior_citizen,amount_category
0,TX002004,AC00388,248.76,2023-05-24 16:12:00,Debit,Denver,D000334,80.75.92.66,M091,ATM,18,Student,56,1,546.46,2024-11-04 08:06:00,16,Wednesday,0,Medium
1,TX000096,AC00010,508.68,2023-06-26 16:16:00,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,2024-11-04 08:09:00,16,Monday,0,High
2,TX001327,AC00453,109.91,2023-05-01 16:23:00,Debit, ##### ,D000517,173.135.78.201,M074,Branch,38, Doctor ,90,1,12896.06,2024-11-04 08:10:00,16,Monday,0,Low
3,TX000379,AC00410,295.5,2023-11-23 18:00:00,Debit,Mesa,D000445,137.135.250.168,M095,ATM,59,Retired,36,1,6280.66,2024-11-04 08:07:00,18,Thursday,0,Medium
4,TX002294,AC00322,141.37,2023-07-21 16:54:00,Debit,Denver,D000119,52.196.112.199,M026,Online,46, Engineer ,77,1,1019.77,2024-11-04 08:11:00,16,Friday,0,Medium
5,TX000697,AC00497,183.67,2023-06-26 16:11:00,Debit, San Diego ,D000187,77.7.223.184,M085,Online,19,Student,238,1,910.26,2024-11-04 08:11:00,16,Monday,0,Medium
6,TX002194,AC00101,54.91,2023-02-13 16:08:00,Credit,,D000091,147.125.143.41,M010,ATM,41,Engineer,275,1,"$7,927.27",2024-11-04 08:07:00,16,Monday,0,Low
7,TX000675,AC00034,637.97,2023-10-23 17:17:00,Debit, New York ,D000646,104.165.213.58,M066,Branch,58,Retired,90,1,7949.03,2024-11-04 08:07:00,17,Monday,0,High
8,TX001427,AC00386,,2023-05-23 16:29:00,Debit,Austin,D000626,165.35.58.173,M078,ATM,19,Student,185,1,620.83,2024-11-04 08:10:00,16,Tuesday,0,
9,TX002117,AC00043,309.42,2023-10-18 16:51:00,Debit,Fresno,D000395,214.32.109.197,M089,Branch,27,Engineer,42,1,8564.46,2024-11-04 08:10:00,16,Wednesday,0,Medium
10,TX000166,AC00182,231.91,2023-01-31 18:31:00, Debit ,,D000371,161.71.2.223,M044,ATM,34, Engineer ,165,1,112.76,2024-11-04 08:12:00,18,Tuesday,0,Medium
11,TX001147,AC00068,958.9,2023-07-04 16:30:00,Debit,Memphis,,160.212.125.105,M097,Branch,31,Engineer,135,1,9977.49,2024-11-04 08:06:00,16,Tuesday,0,High
12,TX000396,AC00411,,2023-05-31 16:25:00,Debit,Colorado Springs,D000056,153.178.166.93,M042,ATM,29,Doctor,209,1,7580.59,2024-11-04 08:07:00,16,Wednesday,0,
13,TX000431,AC00443,299.09,2023-01-16 16:14:00,Credit,Boston,D000540,113.115.81.178,M034,Branch,36,Engineer,84,1,5615.26,2024-11-04 08:08:00,16,Monday,0,Medium
14,TX001880,AC00460,0.84,2024-01-01 16:45:00, Debit ,Austin,D000527,136.172.149.77,M036,ATM,52, Engineer ,31,1,2207.54,2024-11-04 08:07:00,16,Monday,0,Low
15,TX002459,AC00312,430.83,2023-08-14 16:09:00,Debit,Los Angeles,,87.50.72.69,M079,Branch,18, Student ,292,1,941.49,2024-11-04 08:07:00,16,Monday,0,High
16,TX001337,AC00017,60.11,2023-11-27 17:39:00, Credit ,Albuquerque,,8.243.4.138,M067,Branch,61,Retired,122,1,7235.87,2024-11-04 08:08:00,17,Monday,1,Low
17,TX001419,AC00261,7.38,2023-03-15 16:47:00,Debit, Houston ,D000011,156.96.135.18,M076,Online,67,Retired,105,1,2923.83,2024-11-04 08:10:00,16,Wednesday,1,Low
